,equity
2023-06-02,4789.1079461259205
2023-06-03,4789.1079461259205
2023-06-04,4789.1079461259205
2023-06-05,4789.1079461259205
2023-06-06,4789.1079461259205
2023-06-07,4789.1079461259205
2023-06-08,4789.1079461259205
2023-06-09,4789.1079461259205
2023-06-10,4789.1079461259205
2023-06-11,4789.1079461259205
2023-06-12,4789.1079461259205
2023-06-13,4789.1079461259205
2023-06-14,4789.1079461259205
2023-06-15,4789.1079461259205
2023-06-16,4789.1079461259205
2023-06-17,4789.1079461259205
2023-06-18,4789.1079461259205
2023-06-19,4789.1079461259205
2023-06-20,4789.1079461259205
2023-06-21,4789.1079461259205
2023-06-22,4789.1079461259205
2023-06-23,4789.1079461259205
2023-06-24,4789.1079461259205
2023-06-25,4789.1079461259205
2023-06-26,4789.1079461259205
2023-06-27,4789.1079461259205
2023-06-28,4789.1079461259205
2023-06-29,4789.1079461259205
2023-06-30,4789.1079461259205
2023-07-01,4789.1079461259205
2023-07-02,4789.1079461259205
2023-07-03,4789.1079461259205
2023-07-04,4789.1079461259205
2023-07-05,4789.1079461259205
2023-07-06,4789.1079461259205
2023-07-07,4789.1079461259205
2023-07-08,4789.1079461259205
2023-07-09,4789.1079461259205
2023-07-10,4789.1079461259205
2023-07-11,4789.1079461259205
2023-07-12,4743.882231997794
2023-07-13,4729.176197078601
2023-07-14,4838.106827501533
2023-07-15,4974.008704678542
2023-07-16,4970.384654620488
2023-07-17,4861.66315287888
2023-07-18,4631.5359741924785
2023-07-19,4617.178212672481
2023-07-20,4436.148149037261
2023-07-21,4462.387195660115
2023-07-22,4289.209487949275
2023-07-23,4331.191962545842
2023-07-24,4088.0434638407246
2023-07-25,4074.0493056418686
2023-07-26,4404.661293089835
2023-07-27,4390.6671348909795
2023-07-28,4339.938311420127
2023-07-29,4401.162753540121
2023-07-30,4241.979204028137
2023-07-31,4149.267905960718
2023-08-01,4206.993808530999
2023-08-02,4047.810259019014
2023-08-03,3956.8482307264526
2023-08-04,3944.5820012112003
2023-08-05,3908.100767575317
2023-08-06,4003.0833315243417
2023-08-07,3990.994641567193
2023-08-08,4180.959769465242
2023-08-09,4208.5910607958685
2023-08-10,4246.584086375477
2023-08-11,4250.037997791806
2023-08-12,4301.846669036729
2023-08-13,4180.959769465243
2023-08-14,4346.7475174489955
2023-08-15,4123.970231095828
2023-08-16,3935.7320589059436
2023-08-17,3745.7669310078945
2023-08-18,3734.1550535217702
2023-08-19,3734.1550535217702
2023-08-20,3734.1550535217702
2023-08-21,3734.1550535217702
2023-08-22,3734.1550535217702
2023-08-23,3734.1550535217702
2023-08-24,3734.1550535217702
2023-08-25,3734.1550535217702
2023-08-26,3734.1550535217702
2023-08-27,3734.1550535217702
2023-08-28,3734.1550535217702
2023-08-29,3734.1550535217702
2023-08-30,3734.1550535217702
2023-08-31,3734.1550535217702
2023-09-01,3734.1550535217702
2023-09-02,3734.1550535217702
2023-09-03,3734.1550535217702
2023-09-04,3734.1550535217702
2023-09-05,3734.1550535217702
2023-09-06,3734.1550535217702
2023-09-07,3734.1550535217702
2023-09-08,3734.1550535217702
2023-09-09,3734.1550535217702
2023-09-10,3734.1550535217702
2023-09-11,3734.1550535217702
2023-09-12,3734.1550535217702
2023-09-13,3734.1550535217702
2023-09-14,3734.1550535217702
2023-09-15,3734.1550535217702
2023-09-16,3734.1550535217702
2023-09-17,3734.1550535217702
2023-09-18,3734.1550535217702
2023-09-19,3734.1550535217702
2023-09-20,3734.1550535217702
2023-09-21,3734.1550535217702
2023-09-22,3734.1550535217702
2023-09-23,3734.1550535217702
2023-09-24,3734.1550535217702
2023-09-25,3734.1550535217702
2023-09-26,3734.1550535217702
2023-09-27,3734.1550535217702
2023-09-28,3734.1550535217702
2023-09-29,3734.1550535217702
2023-09-30,3734.1550535217702
2023-10-01,3734.1550535217702
2023-10-02,3644.3278096219515
2023-10-03,3683.32960552972
2023-10-04,3610.0062292231146
2023-10-05,3539.80299658913
2023-10-06,3655.248312476127
2023-10-07,3636.527450440398
2023-10-08,3625.6069475862223
2023-10-09,3447.7587582467954
2023-10-10,3449.318830083106
2023-10-11,3433.718111719999
2023-10-12,3321.3929395056234
2023-10-13,3311.096621393156
2023-10-14,3311.096621393156
2023-10-15,3291.8019583539467
2023-10-16,3596.376159605474
2023-10-17,3593.375428558661
2023-10-18,3513.856055818115
2023-10-19,3741.911615375908
2023-10-20,4056.98837529128
2023-10-21,4400.572080151377
2023-10-22,4358.561845495995
2023-10-23,4789.166750713672
2023-10-24,4528.103149640934
2023-10-25,4867.185757930812
2023-10-26,4916.697820203228
2023-10-27,4762.160171292354
2023-10-28,4748.656881581695
2023-10-29,4927.2003788670745
2023-10-30,5243.777504305855
2023-10-31,5765.90470645133
2023-11-01,6177.004859864721
2023-11-02,6038.971231711319
2023-11-03,5923.4430864090145
2023-11-04,6367.55128133735
2023-11-05,6181.505956434939
2023-11-06,6327.041412205374
2023-11-07,6444.069923031085
2023-11-08,6471.076502452402
2023-11-09,6798.156186555027
2023-11-10,8510.073248761886
2023-11-11,8453.059358872437
2023-11-12,8447.05789677881
2023-11-13,7743.3864663011445
2023-11-14,8526.577269519357
2023-11-15,9827.394178312827
2023-11-16,8669.111994242978
2023-11-17,8783.139774021874
2023-11-18,8789.141236115502
